channel,start_time,stop_time,label,confidence
TERM,1,36,0,1
TERM,1,36,0,1
TERM,1,36,0,1
TERM,1,36,0,1
TERM,1,36,0,1
TERM,1,36,0,1
TERM,1,36,0,1
TERM,1,36,0,1
TERM,1,36,0,1
TERM,1,36,0,1
TERM,1,36,0,1
TERM,1,36,2,1
TERM,1,36,2,1
TERM,1,36,0,1
TERM,1,36,0,1
TERM,1,36,0,1
TERM,1,36,0,1
TERM,1,36,0,1
TERM,1,36,0,1
TERM,1,36,0,1
TERM,1,36,0,1
TERM,1,36,0,1
TERM,1,36,0,1
TERM,1,36,0,1
TERM,1,36,0,1
TERM,1,36,0,1
TERM,1,36,0,1
TERM,1,36,2,1
TERM,1,36,0,1
TERM,1,36,0,1
TERM,1,36,0,1
TERM,1,36,0,1
TERM,1,36,2,1
TERM,1,36,0,1
TERM,1,36,0,1
TERM,1,36,0,1
TERM,37,306,0,1
TERM,37,306,0,1
TERM,37,306,0,1
TERM,37,306,0,1
TERM,37,306,0,1
TERM,37,306,0,1
TERM,37,306,0,1
TERM,37,306,0,1
TERM,37,306,0,1
TERM,37,306,0,1
TERM,37,306,0,1
TERM,37,306,0,1
TERM,37,306,0,1
TERM,37,306,0,1
TERM,37,306,0,1
TERM,37,306,0,1
TERM,37,306,0,1
TERM,37,306,0,1
TERM,37,306,0,1
TERM,37,306,0,1
TERM,37,306,0,1
TERM,37,306,0,1
TERM,37,306,0,1
TERM,37,306,0,1
TERM,37,306,0,1
TERM,37,306,0,1
TERM,37,306,0,1
TERM,37,306,0,1
TERM,37,306,0,1
TERM,37,306,0,1
TERM,37,306,0,1
TERM,37,306,0,1
TERM,37,306,0,1
TERM,37,306,0,1
TERM,37,306,0,1
TERM,37,306,0,1
TERM,37,306,0,1
TERM,37,306,0,1
TERM,37,306,0,1
TERM,37,306,0,1
TERM,37,306,0,1
TERM,37,306,0,1
TERM,37,306,0,1
TERM,37,306,0,1
TERM,37,306,0,1
TERM,37,306,0,1
TERM,37,306,0,1
TERM,37,306,0,1
TERM,37,306,0,1
TERM,37,306,0,1
TERM,37,306,0,1
TERM,37,306,0,1
TERM,37,306,0,1
TERM,37,306,0,1
TERM,37,306,0,1
TERM,37,306,0,1
TERM,37,306,0,1
TERM,37,306,0,1
TERM,37,306,0,1
TERM,37,306,0,1
TERM,37,306,0,1
TERM,37,306,0,1
TERM,37,306,0,1
TERM,37,306,0,1
TERM,37,306,0,1
TERM,37,306,0,1
TERM,37,306,0,1
TERM,37,306,0,1
TERM,37,306,0,1
TERM,37,306,0,1
TERM,37,306,0,1
TERM,37,306,0,1
TERM,37,306,0,1
TERM,37,306,0,1
TERM,37,306,0,1
TERM,37,306,0,1
TERM,37,306,0,1
TERM,37,306,0,1
TERM,37,306,0,1
TERM,37,306,0,1
TERM,37,306,0,1
TERM,37,306,0,1
TERM,37,306,0,1
TERM,37,306,0,1
TERM,37,306,0,1
TERM,37,306,0,1
TERM,37,306,0,1
TERM,37,306,0,1
TERM,37,306,0,1
TERM,37,306,0,1
TERM,37,306,0,1
TERM,37,306,0,1
TERM,37,306,0,1
TERM,37,306,0,1
TERM,37,306,0,1
TERM,37,306,0,1
TERM,37,306,0,1
TERM,37,306,0,1
TERM,37,306,0,1
TERM,37,306,0,1
TERM,37,306,0,1
TERM,37,306,0,1
TERM,37,306,0,1
TERM,37,306,0,1
TERM,37,306,0,1
TERM,37,306,0,1
TERM,37,306,0,1
TERM,37,306,0,1
TERM,37,306,0,1
TERM,37,306,0,1
TERM,37,306,0,1
TERM,37,306,0,1
TERM,37,306,0,1
TERM,37,306,0,1
TERM,37,306,0,1
TERM,37,306,0,1
TERM,37,306,0,1
TERM,37,306,0,1
TERM,37,306,0,1
TERM,37,306,0,1
TERM,37,306,0,1
TERM,37,306,0,1
TERM,37,306,0,1
TERM,37,306,0,1
TERM,37,306,0,1
TERM,37,306,0,1
TERM,37,306,0,1
TERM,37,306,0,1
TERM,37,306,0,1
TERM,37,306,0,1
TERM,37,306,0,1
TERM,37,306,0,1
TERM,37,306,0,1
TERM,37,306,0,1
TERM,37,306,0,1
TERM,37,306,0,1
TERM,37,306,0,1
TERM,37,306,0,1
TERM,37,306,0,1
TERM,37,306,0,1
TERM,37,306,0,1
TERM,37,306,0,1
TERM,37,306,0,1
TERM,37,306,0,1
TERM,37,306,0,1
TERM,37,306,0,1
TERM,37,306,0,1
TERM,37,306,0,1
TERM,37,306,0,1
TERM,37,306,0,1
TERM,37,306,0,1
TERM,37,306,0,1
TERM,37,306,0,1
TERM,37,306,0,1
TERM,37,306,0,1
TERM,37,306,0,1
TERM,37,306,0,1
TERM,37,306,0,1
TERM,37,306,0,1
TERM,37,306,0,1
TERM,37,306,0,1
TERM,37,306,0,1
TERM,37,306,0,1
TERM,37,306,0,1
TERM,37,306,0,1
TERM,37,306,0,1
TERM,37,306,0,1
TERM,37,306,0,1
TERM,37,306,0,1
TERM,37,306,0,1
TERM,37,306,0,1
TERM,37,306,0,1
TERM,37,306,0,1
TERM,37,306,0,1
TERM,37,306,0,1
TERM,37,306,0,1
TERM,37,306,0,1
TERM,37,306,0,1
TERM,37,306,0,1
TERM,37,306,0,1
TERM,37,306,0,1
TERM,37,306,0,1
TERM,37,306,0,1
TERM,37,306,0,1
TERM,37,306,0,1
TERM,37,306,0,1
TERM,37,306,0,1
TERM,37,306,0,1
TERM,37,306,0,1
TERM,37,306,0,1
TERM,37,306,0,1
TERM,37,306,0,1
TERM,37,306,0,1
TERM,37,306,0,1
TERM,37,306,0,1
TERM,37,306,0,1
TERM,37,306,0,1
TERM,37,306,0,1
TERM,37,306,0,1
TERM,37,306,0,1
TERM,37,306,0,1
TERM,37,306,0,1
TERM,37,306,0,1
TERM,37,306,0,1
TERM,37,306,0,1
